180.163.220.42 - - [10/Oct/2019:01:39:04 +0200] "GET / HTTP/1.1" 200 11564 "http://site.mantorpgym.se" "Mozilla/5.0(compatible;MSIE9.0;WindowsNT6.1;Trident/5.0)"
123.125.71.45 - - [10/Oct/2019:04:01:27 +0200] "GET / HTTP/1.1" 200 11527 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
40.77.167.7 - - [10/Oct/2019:05:23:21 +0200] "GET /instruktor HTTP/1.1" 200 8727 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.7 - - [10/Oct/2019:05:23:29 +0200] "GET /robots.txt HTTP/1.1" 200 1202 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
157.55.39.7 - - [10/Oct/2019:05:23:29 +0200] "GET /robots.txt HTTP/1.1" 200 1202 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
157.55.39.7 - - [10/Oct/2019:05:23:29 +0200] "GET /robots.txt HTTP/1.1" 200 1202 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
207.46.13.104 - - [10/Oct/2019:05:23:33 +0200] "GET /css/menuStyle.css HTTP/1.1" 200 3239 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
207.46.13.104 - - [10/Oct/2019:05:23:33 +0200] "GET /node_modules/jquery/dist/jquery.min.js HTTP/1.1" 200 87237 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
40.77.167.174 - - [10/Oct/2019:05:23:38 +0200] "GET /css/style.css HTTP/1.1" 200 12239 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
40.77.167.174 - - [10/Oct/2019:05:23:38 +0200] "GET /js/main.js?v=2.1 HTTP/1.1" 200 1202 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
40.77.167.7 - - [10/Oct/2019:05:23:43 +0200] "GET /css/popupStyle.css HTTP/1.1" 200 2504 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
40.77.167.7 - - [10/Oct/2019:05:23:43 +0200] "GET /node_modules/swiper/dist/js/swiper.min.js HTTP/1.1" 200 125028 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
207.46.13.104 - - [10/Oct/2019:05:32:33 +0200] "GET / HTTP/1.1" 200 11564 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.174 - - [10/Oct/2019:06:24:39 +0200] "GET /fonts/Nexa%20Bold.otf HTTP/1.1" 200 30710 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
