66.249.66.92 - - [15/Oct/2019:04:05:51 +0200] "GET /robots.txt HTTP/1.1" 200 1202 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.93 - - [15/Oct/2019:04:05:51 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.93 - - [15/Oct/2019:04:15:52 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.93 - - [15/Oct/2019:04:25:51 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.93 - - [15/Oct/2019:04:35:52 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.93 - - [15/Oct/2019:04:45:50 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.150 - - [15/Oct/2019:04:50:40 +0200] "GET /kontakt HTTP/1.1" 200 6171 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.189.159 - - [15/Oct/2019:04:50:41 +0200] "GET /css/leafletStyle.css HTTP/1.1" 200 431 "http://site.mantorpgym.se/kontakt" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
40.77.189.159 - - [15/Oct/2019:04:50:41 +0200] "GET /js/leaflet.js HTTP/1.1" 200 2329 "http://site.mantorpgym.se/kontakt" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
40.77.189.159 - - [15/Oct/2019:04:50:42 +0200] "GET /js/main.js?v=2.1 HTTP/1.1" 200 1146 "http://site.mantorpgym.se/kontakt" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
40.77.189.159 - - [15/Oct/2019:04:50:42 +0200] "GET /js/jquery.keepFormData.min.js HTTP/1.1" 200 4716 "http://site.mantorpgym.se/kontakt" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"
66.249.66.93 - - [15/Oct/2019:04:56:01 +0200] "GET /training HTTP/1.1" 200 9378 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.96 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
